AREA_TITLE,OCC_TITLE,O_GROUP,A_MEDIAN,A_PCT10,A_PCT25,A_PCT75,A_PCT90,A_MEAN
Florida,Insurance Underwriters,detailed,78720,49880,61110,105410,134850,89040
Florida,Financial Risk Specialists,detailed,99900,58080,77380,134680,172550,111510
Florida,Financial Examiners,detailed,76230,49190,59700,99620,129090,83540
Florida,Credit Counselors,detailed,46300,38140,43420,52900,67120,50130
Florida,Loan Officers,detailed,71090,33180,49200,100550,133070,81320
Florida,"Tax Examiners and Collectors, and Revenue Agents",detailed,46760,39640,41230,65080,105370,59060
Florida,Tax Preparers,detailed,49020,30380,35770,63490,94330,54670
Florida,"Financial Specialists, All Other",detailed,61660,46010,50480,88710,115920,74970
Florida,Computer and Mathematical Occupations,major,101120,50040,70110,133440,168780,107320
Florida,Computer Systems Analysts,detailed,101900,63030,79340,129600,161720,106620
Florida,Information Security Analysts,detailed,124860,75410,91020,153540,174600,124510
Florida,Computer and Information Research Scientists,detailed,119810,73780,94270,155420,194840,128620
Florida,Computer Network Support Specialists,detailed,75740,47780,58780,93280,125320,79330
Florida,Computer User Support Specialists,detailed,58740,38750,46990,74850,97560,62940
Florida,Computer Network Architects,detailed,132800,81500,103920,166910,184680,137290
Florida,Database Administrators,detailed,104120,56300,74090,136240,161090,107750
Florida,Database Architects,detailed,138320,85880,103080,168500,206410,142270
Florida,Network and Computer Systems Administrators,detailed,95200,59340,73800,118450,143140,97460
Florida,Computer Programmers,detailed,93180,52810,67700,119330,138770,96940
Florida,Software Developers,detailed,130980,80050,101970,164800,204400,137010
Florida,Software Quality Assurance Analysts and Testers,detailed,100210,57970,76760,125280,150620,102560
Florida,Web and Digital Interface Designers,detailed,77730,49710,60880,108800,142910,89440
Florida,"Computer Occupations, All Other",detailed,105370,52960,72240,141060,173260,110410
Florida,Actuaries,detailed,132110,80450,98410,165610,206700,136940
Florida,Operations Research Analysts,detailed,77600,46340,58920,102680,131490,84250
